index,axis-0,axis-1,axis-2,axis-3
82.0,94.0,7.805714285714286,787.2765714285714,818.0285714285715
83.0,95.0,7.705254515599343,449.1765188834154,453.0796387520525
84.0,95.0,7.395618556701031,561.6778350515464,507.56829896907215
85.0,95.0,6.142348754448399,729.0120996441282,583.9259786476869
86.0,98.0,6.048913043478261,635.9252717391304,349.4307065217391
87.0,98.0,6.789625360230548,527.0643611911623,564.7358309317964
88.0,100.0,5.632373113854595,653.8189300411523,303.8792866941015
89.0,100.0,7.48721399730821,652.5746971736205,637.9084791386272
90.0,101.0,5.639913232104122,532.6305133767173,340.4757772957339
91.0,102.0,5.778,464.05,598.637
92.0,105.0,7.1125769569041335,519.1328056288478,383.7906772207564
93.0,105.0,5.612824675324675,839.5487012987013,425.1623376623377
94.0,106.0,8.106653620352251,619.2093933463797,286.33757338551857
95.0,106.0,8.133611691022965,606.2306889352818,400.6826722338205
96.0,107.0,6.578387953941541,904.784765279008,718.6421612046058
97.0,108.0,6.088397790055248,444.5497237569061,518.0718232044198
98.0,109.0,6.406230910201589,707.5571166768478,433.3683567501527
99.0,111.0,7.025118805159538,430.0672097759674,406.0020366598778
100.0,111.0,6.640834575260805,432.0611028315946,738.7019374068554
101.0,112.0,5.9537205081669695,734.1969147005444,269.91833030853
102.0,112.0,5.578481945467944,915.2756079587324,562.0464259395726
103.0,114.0,6.749315068493151,666.5410958904109,861.931506849315
104.0,114.0,6.625609756097561,676.3085365853658,802.2609756097561
105.0,115.0,8.684461391801715,657.7816968541468,562.4356530028599
106.0,115.0,6.437573616018845,622.6949352179034,604.1702002355713
107.0,116.0,5.707983193277311,870.8025210084033,401.2324929971989
108.0,117.0,5.158227848101266,860.4113924050633,449.9098101265823
109.0,117.0,8.698795180722891,526.3734939759037,670.9084337349398
110.0,118.0,5.805359661495063,639.3187588152327,807.0366713681241
111.0,118.0,6.245869776482022,945.153547133139,677.7823129251701
112.0,119.0,7.23444976076555,690.1435406698564,814.7081339712919
113.0,122.0,7.071748878923767,427.3934977578475,786.5661434977578
114.0,122.0,8.045827633378932,439.7558139534884,579.5854993160054
115.0,123.0,8.937853107344633,475.8827683615819,671.7951977401129
116.0,124.0,6.569940476190476,726.4330357142857,584.9032738095239
117.0,125.0,5.656603773584906,510.6358490566038,317.93301886792455
118.0,126.0,6.25428027901078,563.7964489537096,664.0500951173113
119.0,128.0,5.533940397350993,504.8882450331126,281.5819536423841
120.0,128.0,7.288407163053723,572.0377002827521,383.9575871819039
121.0,128.0,6.735042735042735,685.8931623931624,887.4529914529915
122.0,129.0,8.436781609195402,371.6293103448276,714.653735632184
123.0,129.0,8.87239944521498,513.2871012482663,319.746185852982
124.0,132.0,5.636752136752137,852.7336182336182,636.6132478632478
125.0,133.0,6.979355904211396,763.9744013212221,602.9298100743188
126.0,133.0,5.946040034812881,874.4046997389034,423.3933855526545
127.0,134.0,6.125440451021847,614.3086680761099,855.4827343199436
128.0,134.0,7.287319422150883,740.4422150882825,873.1476725521669
129.0,135.0,8.942006269592477,669.8557993730408,448.05799373040753
130.0,136.0,9.0552016985138,527.9331210191083,338.6380042462845
131.0,136.0,5.839332748024583,783.1870061457419,631.0359964881475
132.0,136.0,6.998561151079136,589.7812949640288,721.0568345323741
133.0,136.0,7.258695652173913,526.0467391304347,386.8858695652174
134.0,137.0,7.35676625659051,590.3936731107206,841.4349736379613
135.0,138.0,7.489266547406082,644.6252236135957,462.7361359570662
136.0,138.0,5.776178010471204,814.8376963350786,594.9162303664922
137.0,138.0,6.140338504936531,598.3660084626234,813.0775740479548
138.0,138.0,5.8902123252200935,592.9585706887623,895.2837907819783
139.0,139.0,5.993885869565218,698.1603260869565,775.3885869565217
140.0,140.0,7.576763485477178,333.40011855364554,704.1647895672792
141.0,141.0,7.5504854368932035,449.96796116504856,297.5543689320388
142.0,141.0,8.723518850987432,656.145421903052,409.22800718132856
143.0,141.0,8.31523642732049,625.8336252189142,448.7600700525394
144.0,142.0,8.109388458225668,562.43669250646,584.2997416020672
145.0,142.0,7.58309591642925,584.1101614434948,682.6638176638177
146.0,142.0,6.283842794759825,898.103056768559,649.9991266375546
147.0,143.0,5.20414673046252,825.2017543859649,664.5079744816587
148.0,143.0,5.4258289703315885,795.4432809773124,756.1745200698081
149.0,143.0,8.002737226277372,549.3549270072992,708.3759124087592
150.0,144.0,8.258536585365853,647.7219512195122,743.6573170731707
151.0,145.0,8.800391389432486,577.0195694716243,258.0234833659491
152.0,145.0,7.848301886792453,513.3132075471698,601.6822641509434
153.0,147.0,7.521812080536913,428.005033557047,829.9807046979865
154.0,148.0,5.929969104016478,887.9886714727086,722.9691040164779
155.0,150.0,7.534990791896869,785.7136279926335,668.7495395948434
